Time results were received.,MD5 hash that hopefully uniquely identifies participant.,Controller name.,Item_number.,Element number.,Type.,match_cond,second_conj_arg,Group.,Sentence (or sentence MD5).,Question (NULL if none).,Answer.,Whether or not answer was correct (NULL if N/A).,Time taken to answer.,Field name.,Field value.,Field name._02,Field value._02,Field name._03,Field value._03,Field name._04,Field value._04,Field name._05,Field value._05,Field name._06,Field value._06,Field name._07,Field value._07,Field name._08,ID,Field name._09,Field value._09,Field name._10,Field value._10
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,86,0,locative-match1,match,DO_container,18,Michael crammed his mouth with food%2C and Hannah her bag with books.,NULL,4,NULL,5776,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,117,0,locative-mismatch2,mismatch,DO_container,25,Daniel smeared cream cheese on a bagel%2C and Elizabeth a cracker with peanut butter.,NULL,4,NULL,684,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,91,0,locative-match2,match,DO_substance,19,Matthew daubed graffiti on the wall%2C and Madison paint on the statue.,NULL,5,NULL,565,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,144,0,locative-mismatch1,mismatch,DO_substance,32,David stuffed his pocket with the coins%2C and Olivia the bills into her purse.,NULL,3,NULL,381,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,102,0,locative-match1,match,DO_container,22,Nicholas jammed the suitcase with clothes%2C and Alexis the briefcase with papers.,NULL,5,NULL,606,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,85,0,locative-mismatch2,mismatch,DO_container,17,Jacob brushed milk over the pastry%2C and Emily the dough with oil.,NULL,5,NULL,347,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,107,0,locative-match2,match,DO_substance,23,Andrew packed camping gear into his duffel bag%2C and Samantha school supplies into her backpack.,NULL,6,NULL,449,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,112,0,locative-mismatch1,mismatch,DO_substance,24,Joseph slathered his body with sunscreen%2C and Jessica moisturizer on her face.,NULL,4,NULL,360,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,118,0,locative-match1,match,DO_container,26,Tyler splashed his face with water%2C and Taylor her canvas with paint.,NULL,5,NULL,406,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,101,0,locative-mismatch2,mismatch,DO_container,21,The doctor injected the medication into Christopherâ€™s spine%2C and the nurse Sarahâ€™s arm with the vaccine.,NULL,1,NULL,460,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,139,0,locative-match2,match,DO_substance,31,Zachary scattered flower seeds over his front yard%2C and Brianna garbage over her backyard.,NULL,3,NULL,349,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,96,0,locative-mismatch1,mismatch,DO_substance,20,Joshua heaped the plate with salad%2C and Ashley bread on the tray.,NULL,2,NULL,313,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,134,0,locative-match1,match,DO_container,30,John piled the bed with pillows%2C and Abigail the sofa with cushions.,NULL,3,NULL,370,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,133,0,locative-mismatch2,mismatch,DO_container,29,Ryan sprayed disinfectant on the tables%2C and Kayla the flowers with pesticide.,NULL,2,NULL,374,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,123,0,locative-match2,match,DO_substance,27,William loaded the cargo onto the boat%2C and Lauren the sack onto the truck.,NULL,6,NULL,328,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
1624374830,dbccd3f54adbf128a88ff7c13292d652,AcceptabilityJudgment,128,0,locative-mismatch1,mismatch,DO_substance,28,Brandon sprinkled the meat with salt%2C and Alyssa sugar over the cake.,NULL,2,NULL,469,consent,yes,_REACTION_TIME_,4150,_REACTION_TIME_,1631,age,22,write_something,uk,gender,female,_REACTION_TIME_,14456,id,603d0ac7d8a95bb762237110,id,603d0ac7d8a95bb762237110,_REACTION_TIME_,12310
